Charlotte Hornets,80,3437,6478,631,2681,1831,1396,509,2497,8843,2823,1542,451,374,886,1493
Milwaukee Bucks,67,2660,5305,628,2626,1133,1561,743,2063,6233,2586,1729,542,361,1060,1036
Houston Rockets,67,3166,6148,838,2848,1703,1457,637,2508,8930,2650,1679,629,365,1128,1621
Dallas Mavericks,64,2789,5120,761,2388,1874,1831,697,2235,6622,2581,1750,405,518,1149,1506
LA Clippers,77,3172,5490,712,2777,1905,1552,510,2637,8201,3109,1912,554,487,897,1615
New Orleans Pelicans,72,3214,6017,704,2490,1816,1830,849,1938,7971,3956,1267,436,316,1035,1793
Portland Trail Blazers,74,2951,6708,1147,1840,1745,1789,714,2237,8513,3759,1971,797,344,1173,1209
Washington Wizards,63,3265,5878,1063,2053,1915,1479,554,2126,6356,3839,1857,657,306,842,1543
San Antonio Spurs,71,2861,6328,775,2673,1395,1585,540,2346,8943,3991,1216,759,243,1076,1783
Boston Celtics,82,3147,6848,896,2750,1544,1662,861,2516,8438,2730,1799,573,292,1173,1797
Phoenix Suns,80,2932,5300,1173,2293,1791,1332,558,2626,6022,3627,1507,603,205,835,1793
Los Angeles Lakers,71,3288,6185,1103,1900,1881,1801,664,2102,6678,3484,1347,471,300,1112,1205
Minnesota Timberwolves,75,3337,5593,953,1927,1888,1738,741,2644,6025,3960,1333,478,351,1115,1049
Toronto Raptors,82,2568,6898,1090,2894,1908,1500,719,2415,7903,3475,1812,735,596,805,1705
Memphis Grizzlies,69,2914,5007,721,2586,1478,1956,604,2381,8048,2871,1772,737,269,955,1000
Miami Heat,73,3495,6349,1107,2139,1928,1473,772,2294,7691,2920,1733,718,232,1017,1291
Atlanta Hawks,79,2918,5934,1009,2019,1189,1306,737,1860,7487,3206,1583,524,482,857,1061
Brooklyn Nets,62,2926,5757,621,1906,1513,1518,744,2289,7660,3212,1291,772,272,978,1663
Utah Jazz,75,3346,5283,1172,2522,1728,1604,737,2104,6714,2721,1389,611,282,963,1277
Denver Nuggets,63,2723,6949,827,2237,1771,1940,851,2721,7485,3991,1903,754,426,1065,1787
Philadelphia 76ers,75,3269,6803,954,2231,1740,1582,580,2568,7018,3539,1954,684,597,839,1256
Oklahoma City Thunder,80,3053,6603,741,2449,1914,1759,568,2244,7485,3657,1572,757,577,1094,1774
Sacramento Kings,69,3112,6222,664,2213,1269,1382,507,2396,7418,2885,1727,723,500,878,1404
Indiana Pacers,65,2916,6210,675,2147,1023,1344,619,2269,6003,3183,1891,672,283,875,1120
Orlando Magic,67,2764,5661,671,2513,1189,1767,681,1824,7366,3549,1818,704,339,881,1563
Detroit Pistons,61,2931,6769,1135,2744,1857,1619,638,1915,7307,2835,1418,573,373,1048,1504
Cleveland Cavaliers,68,3448,5677,685,2479,1723,1874,831,1817,8005,3594,1385,567,478,885,1764
Chicago Bulls,69,3104,6908,678,2676,1539,1473,660,1806,7454,3403,1378,500,491,1157,1117
Golden State Warriors,74,2876,5070,913,2997,1836,1857,501,1857,8240,3677,1267,522,337,1173,1784
New York Knicks,80,2803,5354,637,2766,1811,1771,541,2233,8402,2909,1813,655,340,992,1695
Charlotte Hornets,67,2723,6940,1054,2061,1521,1324,810,2796,8456,3701,1958,473,263,849,1306
Milwaukee Bucks,77,3327,5035,1080,2332,1883,1618,512,2406,6008,3352,1482,592,306,1195,1503
Houston Rockets,76,2894,6043,837,2060,1263,1961,659,2171,7087,3759,1974,562,331,1052,1608
Dallas Mavericks,62,3070,6808,849,2492,1059,1681,890,2301,6265,3936,1265,423,292,1115,1511
LA Clippers,61,3053,6907,797,2602,1951,1354,518,1968,8712,2732,1564,417,452,839,1657
New Orleans Pelicans,66,3165,5548,846,2006,1523,1826,552,2283,8635,3609,1666,555,342,1119,1507
Portland Trail Blazers,65,3479,6452,1070,1868,1279,1713,595,1884,7207,3762,1635,530,313,1104,1742
Washington Wizards,63,2848,6394,966,2374,1063,1795,899,1876,8076,3632,1268,561,525,866,1415
San Antonio Spurs,60,3062,6652,1195,1922,1750,1457,722,1800,8079,2933,1448,440,286,999,1005
Boston Celtics,60,2618,6769,1152,1973,1659,1839,897,1839,6732,2849,1893,474,539,1188,1547
Phoenix Suns,75,3156,6701,905,2711,1937,1526,552,2399,7584,3865,1394,719,578,806,1626
Los Angeles Lakers,70,2765,6917,1094,2778,1119,1616,654,2250,7847,3420,1774,549,572,1104,1643
Minnesota Timberwolves,80,3170,6166,681,2282,1286,1374,523,1892,8999,3730,1348,530,273,1199,1247
Toronto Raptors,73,3170,6116,803,2382,1295,1696,870,2425,6414,2744,1822,570,217,1113,1686
Memphis Grizzlies,71,3047,6214,1008,2476,1581,1939,731,2647,6467,3958,1500,551,299,1012,1077
Miami Heat,77,2636,5569,1100,2429,1563,1723,882,2400,6721,3545,1652,583,258,1153,1423
Atlanta Hawks,81,2676,6750,676,2676,1395,1547,846,2035,6398,3694,1253,622,214,979,1340
Brooklyn Nets,75,3042,5859,721,2733,1096,1328,831,2108,6344,3021,1773,428,507,832,1226
Utah Jazz,60,2818,5338,1096,2611,1501,1730,571,1964,8389,2524,1582,679,421,1131,1078
Denver Nuggets,75,2755,5146,823,1805,1705,1389,728,2516,6489,3204,1527,501,467,1182,1147
Philadelphia 76ers,68,2659,6506,852,1999,1664,1337,677,2374,7063,2672,1457,588,326,813,1463
Oklahoma City Thunder,82,2977,5675,602,2002,1046,1892,801,2035,7363,3620,1359,620,417,1178,1791
Sacramento Kings,69,3070,6156,758,2285,1887,1846,735,2315,6605,3468,1943,703,502,1047,1364
Indiana Pacers,61,3175,5581,989,2519,1660,1705,678,2670,8052,3145,1728,610,577,839,1002
Orlando Magic,74,3015,5988,1059,2913,1198,1475,601,2178,7906,2921,1240,516,380,822,1668
Detroit Pistons,75,3212,5792,1024,2875,1593,1981,878,2143,7879,3342,1228,507,304,952,1022
Cleveland Cavaliers,81,2606,5941,1023,2142,1371,1695,523,2037,8044,3594,1230,661,362,807,1774
Chicago Bulls,72,3005,5871,821,2830,1244,1611,592,2444,7859,3501,1693,583,376,1149,1590
Golden State Warriors,73,3472,5679,802,2191,1208,1358,611,2342,7156,2774,1457,448,460,1011,1684
New York Knicks,75,3233,6780,813,2277,1987,1916,842,1828,7791,2688,1348,715,379,1175,1375
Charlotte Hornets,71,3087,5958,874,2044,1988,1617,656,2424,6688,2833,1984,677,412,1006,1345
Milwaukee Bucks,66,2554,6653,1163,2870,1453,1599,840,2079,8520,3877,1345,786,498,812,1074
Houston Rockets,60,2564,5699,760,1856,1309,1746,832,2749,8136,3486,1757,701,453,1194,1433
Dallas Mavericks,64,2608,6925,1062,2235,1535,1906,816,1937,7415,3148,1415,741,484,1054,1047
LA Clippers,63,3183,5124,790,1952,1939,1701,617,2419,7633,3856,1994,479,464,1190,1475
New Orleans Pelicans,77,3443,6608,1168,2126,1363,1343,736,2578,7654,3053,1437,446,419,878,1153
Portland Trail Blazers,62,3471,6856,944,2400,1219,1478,767,2709,7858,3576,1733,450,310,961,1168
Washington Wizards,66,3311,7000,716,2525,1294,1903,676,2444,6572,3149,1855,659,245,809,1122
San Antonio Spurs,65,2648,6429,663,1870,1384,1304,625,2774,7127,2827,1552,492,205,1044,1741
Boston Celtics,80,2856,6439,708,2957,1927,1975,626,2669,6901,2666,1475,468,368,849,1165
Phoenix Suns,62,3044,5588,696,1993,1911,1751,620,2016,8118,2694,1585,732,254,863,1526
Los Angeles Lakers,68,2864,5782,1119,1842,1267,1861,699,1961,7680,3332,1834,760,592,1016,1467
Minnesota Timberwolves,61,2698,5997,663,2025,1985,1328,733,2576,8113,3767,1767,442,357,1131,1073
Toronto Raptors,70,2737,5903,947,2720,1485,1775,793,2340,6326,3813,1673,626,583,1047,1198
Memphis Grizzlies,71,3032,6750,1142,2201,1324,1951,883,2681,6523,3568,1974,677,541,930,1782
Miami Heat,73,3361,5072,675,2812,1822,1902,524,1956,7058,3223,1471,505,518,833,1727
Atlanta Hawks,75,2971,5381,995,2372,1077,1858,857,2582,7775,3130,1223,627,596,817,1138
Brooklyn Nets,78,2795,5102,1089,2320,1420,1938,636,2302,6580,3714,1833,451,374,832,1389
Utah Jazz,62,2957,6968,790,2812,1718,1349,681,2021,7884,3628,1466,433,233,1145,1194
Denver Nuggets,74,2652,6604,1009,2363,1856,1509,609,1842,8974,3107,1411,653,342,949,1754
Philadelphia 76ers,77,2554,5726,673,2165,1792,1341,895,2352,8878,3659,1264,573,353,815,1486
Oklahoma City Thunder,75,2583,5770,1012,1940,1242,1788,621,2563,7705,3172,1644,749,581,987,1373
Sacramento Kings,63,2816,5194,1119,1932,1713,1502,522,2083,6643,2966,1841,656,417,943,1571
Indiana Pacers,70,3028,5663,609,1800,1203,1822,857,2429,8480,3426,1928,686,344,1084,1458
Orlando Magic,65,3026,6563,1041,2030,1001,1699,864,2058,6195,2710,1408,605,560,837,1344
Detroit Pistons,66,2850,5810,667,2229,1422,1541,811,2656,8542,3804,1301,541,484,832,1250
Cleveland Cavaliers,60,3301,5968,620,2267,1981,1856,592,2501,8498,3249,1850,594,231,1181,1534
Chicago Bulls,74,3363,5193,903,2478,1222,1671,534,2350,8481,3204,1209,481,531,980,1324
Golden State Warriors,60,3440,6515,1105,2325,1306,1956,690,1883,8793,2556,1950,508,444,839,1219
New York Knicks,76,3090,6925,734,2767,1116,1469,760,2116,6764,3091,1377,607,363,946,1358
Charlotte Hornets,60,3075,6764,973,2843,1434,1696,822,2661,8022,3561,1819,408,410,835,1367
Milwaukee Bucks,78,2546,5608,1042,1859,1177,1465,547,2529,8255,3981,1630,735,447,1010,1673
Houston Rockets,79,3237,5158,891,1829,1359,1742,770,2439,6831,3290,1726,402,250,1179,1755
Dallas Mavericks,67,2539,6296,656,2614,1927,1875,801,1830,7011,3500,1659,503,404,848,1164
LA Clippers,62,3401,5433,946,2882,1616,1931,890,2136,7975,3068,1390,652,419,1089,1144
New Orleans Pelicans,68,2901,6878,831,2575,1910,1539,731,2232,8062,3417,1861,451,501,864,1518
Portland Trail Blazers,77,3089,5711,761,1927,1355,1867,577,2203,7868,2960,1709,446,366,1134,1360
Washington Wizards,68,2700,5850,945,2093,1253,1850,841,2172,8927,3636,1791,419,561,1159,1084
San Antonio Spurs,63,3208,6088,644,2463,1067,1895,660,2339,8222,3689,1517,445,451,836,1648
Boston Celtics,74,2841,5870,726,2216,1926,1838,858,2188,6312,2878,1785,726,278,893,1321
Phoenix Suns,62,3487,6794,947,2588,1307,1420,881,1935,7369,3984,1272,619,584,1132,1597
Los Angeles Lakers,77,2917,6976,865,2494,1381,1992,744,1959,6595,3082,1837,574,290,1000,1426
Minnesota Timberwolves,77,2767,6395,951,1843,1260,1491,668,2285,8224,2797,1873,768,460,888,1194
Toronto Raptors,72,2813,6466,1047,2225,1380,1637,823,2738,6240,2707,1740,787,600,1165,1238
Memphis Grizzlies,81,2832,6700,633,2613,1315,1439,868,2536,6884,2587,1534,724,483,977,1101
Miami Heat,62,2506,6193,842,1938,1089,1887,692,2421,6775,3190,1417,473,555,961,1683
Atlanta Hawks,79,3343,6033,1104,2573,1768,1936,802,2042,7031,3510,1303,558,298,1111,1046
Brooklyn Nets,60,2549,6608,726,2712,1338,1671,856,2799,8476,3878,1423,606,451,1054,1741
Utah Jazz,68,3455,6185,730,2596,1533,1409,744,1857,8324,3226,1267,657,321,996,1303
Denver Nuggets,76,3152,6978,940,2394,1437,1325,542,1933,8445,3330,1968,761,329,1175,1751
Philadelphia 76ers,78,3204,6718,1164,1940,1336,1651,736,2315,6328,3031,1571,699,212,1071,1178
Oklahoma City Thunder,60,3202,6780,731,2338,1119,1347,741,2770,6432,2532,1819,567,550,950,1018
Sacramento Kings,75,3019,5486,1095,2457,1680,1614,806,2577,6136,3052,1603,738,256,1111,1270
Indiana Pacers,69,3180,5053,668,1937,1425,1734,552,1889,8274,3832,1328,599,511,1182,1300
Orlando Magic,69,2743,6692,689,2271,1468,1783,748,2328,7632,3778,1570,405,543,824,1358
Detroit Pistons,73,2922,5603,635,1868,1612,1679,641,2627,8867,3925,1237,449,425,834,1366
Cleveland Cavaliers,71,3140,5704,1150,2332,1255,1556,826,2508,7496,3775,1596,724,454,846,1443
Chicago Bulls,70,3017,5557,770,2558,1793,1356,707,1809,6413,2955,1945,687,460,1165,1354
Golden State Warriors,78,2810,6781,1102,2887,1468,1829,768,2645,8496,2761,1207,605,323,903,1746
New York Knicks,74,2645,5151,907,2636,1233,1403,868,2797,8995,3602,1892,740,558,860,1603
Charlotte Hornets,78,3060,6924,970,2547,1040,1336,816,2565,7878,2503,1501,708,338,958,1459
Milwaukee Bucks,74,2962,6824,802,1996,1546,1664,501,2793,6056,2948,1359,668,464,1075,1066
Houston Rockets,79,3351,5647,1114,2184,1767,1309,684,1948,6181,3334,1344,773,542,1034,1563
Dallas Mavericks,63,2802,6134,944,2303,1280,1500,892,2344,6365,2995,1607,616,225,911,1108
LA Clippers,78,2606,6148,1180,1986,1130,1731,631,1983,6399,3449,1706,635,504,1056,1228
New Orleans Pelicans,81,2645,5799,939,1904,1899,1830,769,2464,6842,3855,1375,779,444,832,1137
Portland Trail Blazers,62,2608,5294,1176,1866,1164,1555,591,2299,8116,3150,1775,413,278,846,1484
Washington Wizards,73,2606,5528,977,1900,1565,1301,884,2464,7461,2986,1318,468,405,933,1592
San Antonio Spurs,82,2863,6288,644,2042,1623,1843,628,1945,7369,3627,1615,668,502,928,1344
Boston Celtics,64,3044,6449,770,2655,1798,1883,708,2545,7771,3103,1217,432,331,1187,1630
Phoenix Suns,71,3482,5963,607,2572,1670,1468,651,2295,6062,3863,1475,478,563,1157,1358
Los Angeles Lakers,72,3120,6538,735,2340,1032,1328,820,2051,7785,3548,1732,616,522,894,1170
Minnesota Timberwolves,64,3182,5494,831,2230,1714,1309,506,2116,7247,3474,1750,700,302,912,1530
Toronto Raptors,77,3499,5083,1117,2517,1931,1530,507,2065,7825,3790,1925,605,560,918,1722
Memphis Grizzlies,69,3369,6208,658,2760,1078,1976,540,2658,8677,2795,1381,625,356,936,1531
Miami Heat,82,2612,5994,632,1835,1488,1966,586,1915,8064,3304,1961,669,208,1042,1708
Atlanta Hawks,77,2682,6589,653,2123,1747,1573,714,2435,7617,2890,1597,640,480,1133,1147
Brooklyn Nets,79,2701,5643,944,2444,1640,1831,783,2010,7541,2797,1781,778,434,1083,1105
Utah Jazz,69,2894,6529,650,2914,1315,1608,765,2352,8827,2508,1940,663,499,951,1179
Denver Nuggets,79,3430,6959,790,1953,1496,1775,768,2727,7731,3001,1889,483,469,901,1647
Philadelphia 76ers,62,3465,6838,1150,2821,1158,1346,718,2585,6486,2608,1741,737,276,833,1700
Oklahoma City Thunder,69,2595,5982,718,2642,1224,1629,750,2613,6490,2883,1965,533,241,1138,1744
Sacramento Kings,75,2754,5263,682,1833,1403,1722,647,2707,8475,3929,1386,570,497,1051,1273
Indiana Pacers,71,2826,5475,925,2457,1642,1711,692,1915,6211,3075,1548,471,262,991,1709
Orlando Magic,60,3097,6568,824,1892,1656,1619,586,2309,7849,3811,1946,702,314,882,1050
Detroit Pistons,62,2956,5131,963,2928,1006,1706,624,2018,8865,2681,1334,766,539,1137,1599
Cleveland Cavaliers,63,2975,6660,804,2549,1516,1743,607,2517,8413,3900,1618,734,572,903,1696
Chicago Bulls,75,2802,5758,887,2934,1485,1311,609,1894,8432,3674,1296,578,498,1141,1214
Golden State Warriors,79,2830,6626,1165,2863,1625,1658,725,2218,6339,3389,1724,545,579,1161,1347
New York Knicks,73,3244,5895,805,2047,1981,1594,804,2779,7257,2677,1209,661,317,818,1183
Charlotte Hornets,77,2784,6683,1002,2890,1617,1445,505,1864,7298,3005,1250,488,366,1105,1206
Milwaukee Bucks,79,3421,6282,1013,2757,1149,1671,881,2149,8911,3828,1446,679,387,827,1339
Houston Rockets,77,2705,6741,669,2636,1608,1489,744,2473,8158,2620,1643,422,396,945,1705
Dallas Mavericks,80,2518,6465,868,2912,1655,1426,565,2213,6373,3522,1275,496,445,1073,1572
LA Clippers,66,3431,6559,711,2951,1185,1980,710,2144,8943,3085,1815,510,481,984,1504
New Orleans Pelicans,73,3361,5105,602,2818,1082,1434,554,2011,7243,2898,1422,545,206,1114,1483
Portland Trail Blazers,70,3261,6742,1139,2564,1508,1702,688,2362,6799,3133,1975,610,391,1160,1271
Washington Wizards,77,2800,5779,639,1800,1517,1973,504,2387,7863,3196,1386,490,572,1149,1500
San Antonio Spurs,76,2948,5528,822,2453,1373,1602,696,1846,6275,2762,1556,479,507,1188,1727
Boston Celtics,70,3066,6139,996,2518,1311,1857,858,2043,6528,2619,1483,605,271,987,1425
Phoenix Suns,79,3323,5182,1076,2272,1641,1886,558,2201,8442,3562,1272,531,284,882,1082
Los Angeles Lakers,66,3186,5076,991,2819,1412,1366,609,1930,6829,2737,1641,528,232,1192,1395
Minnesota Timberwolves,69,3331,5808,1117,2291,1494,1618,694,1956,7371,2763,1689,714,592,808,1067
Toronto Raptors,76,3454,6442,978,2105,1155,1683,895,2283,6948,3687,1299,403,317,869,1438
Memphis Grizzlies,64,3282,6582,730,2950,1627,1321,547,2695,8800,3611,1228,633,446,871,1448
Miami Heat,80,3346,6229,850,2312,1685,1952,681,2623,8826,3748,1465,487,214,1075,1143
Atlanta Hawks,64,2816,6739,662,2903,1334,1942,633,1989,7502,3551,1556,444,372,933,1403
Brooklyn Nets,78,3276,6860,1147,2537,1418,1535,588,1918,6003,2665,1981,576,326,1130,1229
Utah Jazz,64,2984,5055,739,1929,1773,1542,812,2426,8919,3903,1578,553,594,817,1632
Denver Nuggets,77,2549,5396,1188,2186,1931,1373,623,2104,8387,2590,1646,684,463,1053,1264
Philadelphia 76ers,61,3216,6791,826,1896,1275,1549,831,2178,7915,2765,1858,542,531,1100,1526
Oklahoma City Thunder,73,3349,6965,924,2116,1823,1428,523,2611,6219,2688,1784,725,309,1102,1286
Sacramento Kings,79,2543,5186,1104,2601,1640,1777,858,2301,6319,3906,1305,633,277,1083,1307
Indiana Pacers,71,2528,5947,860,2097,1385,1493,666,2037,7959,3499,1893,504,226,821,1044
Orlando Magic,80,2709,6468,820,2982,1552,1585,808,2306,6609,3389,1986,485,336,1188,1491
Detroit Pistons,61,2982,5616,631,2758,1730,1964,773,2421,6979,2791,1588,442,529,857,1037
Cleveland Cavaliers,72,3138,6239,803,2076,1287,1942,773,2005,7420,3315,1950,517,574,1065,1600
Chicago Bulls,71,3415,6213,1154,2424,1571,1710,536,2009,7188,3101,1279,684,203,1171,1069
Golden State Warriors,65,2837,5344,1113,2163,1492,1516,779,1899,8207,3995,1549,699,501,971,1409
New York Knicks,66,3006,5682,716,2382,1969,1359,811,2161,6798,2979,1812,790,585,947,1519
Charlotte Hornets,61,2981,5207,935,2791,1838,1398,894,2667,6480,2647,1596,488,499,1119,1179
Milwaukee Bucks,65,2872,6188,601,2403,1521,1800,502,2149,7383,2745,1628,710,499,876,1337
Houston Rockets,82,2647,5784,803,2784,1865,1609,563,2272,6005,2503,1585,615,464,991,1273
Dallas Mavericks,70,3148,6981,737,2239,1900,1960,606,2480,8342,3928,1730,625,588,925,1593
LA Clippers,63,2995,6684,633,1930,1975,1353,575,2126,8597,2869,1739,517,282,1090,1275
New Orleans Pelicans,60,2930,6192,897,2985,1941,1336,712,2309,6703,2650,1685,631,370,1019,1218
Portland Trail Blazers,69,2567,6577,1198,2812,1901,1713,510,2251,7585,3234,1651,525,315,987,1098
Washington Wizards,80,3478,5887,1153,2183,1997,1539,824,2158,8963,3937,1581,633,394,1138,1329
San Antonio Spurs,75,3477,6061,760,2301,1485,1352,751,1968,7487,3879,1287,572,330,1056,1687
Boston Celtics,77,3184,5781,1094,2979,1078,1492,712,1823,8539,2647,1437,733,590,1007,1383
Phoenix Suns,64,2852,5718,1199,2966,1314,1709,783,2654,7213,3163,1375,550,403,983,1255
Los Angeles Lakers,65,2952,6030,978,2690,1729,1398,843,1974,8207,3669,1868,401,462,897,1639
Minnesota Timberwolves,61,2740,5528,804,2359,1653,1376,734,1963,6545,3379,1400,639,233,958,1280
Toronto Raptors,67,3349,6153,788,2349,1922,1368,726,2617,6581,3309,1298,603,298,922,1637
Memphis Grizzlies,75,3238,6265,925,2569,1826,1838,571,2042,6059,2573,1623,712,366,1017,1239
Miami Heat,79,3016,6461,1182,2618,1062,1913,864,2067,8324,3662,1397,439,386,1129,1522
Atlanta Hawks,62,3252,5582,676,1983,1589,1756,831,2614,6132,3017,1813,703,407,970,1696
Brooklyn Nets,76,2818,5079,973,1972,1627,1833,548,2177,8420,3053,1882,465,398,1176,1563
Utah Jazz,71,3253,5595,1074,1824,1080,1933,657,2094,7211,3997,1406,792,448,959,1306
Denver Nuggets,63,3264,5382,898,1873,1173,1634,584,2035,6882,3698,1345,678,269,854,1560
Philadelphia 76ers,68,3231,5072,738,2919,1482,1546,621,2286,7157,2863,1376,489,412,1140,1678
Oklahoma City Thunder,76,3007,5175,860,2932,1958,1605,500,2010,7792,2917,1548,769,237,1136,1623
Sacramento Kings,75,3055,5282,670,2677,1796,1473,507,2658,7462,3850,1583,559,576,1097,1068
Indiana Pacers,77,3227,5867,1141,2333,1971,1883,668,2652,8841,3651,1926,739,588,843,1640
Orlando Magic,67,2669,6672,1086,2224,1764,1585,656,2717,8024,2652,1574,526,586,814,1680
Detroit Pistons,75,3169,6512,764,2033,1210,1894,731,2128,8160,3418,1601,707,584,1082,1390
Cleveland Cavaliers,75,3309,5481,841,2612,1901,1442,864,2306,7861,3754,1379,557,214,1073,1610
Chicago Bulls,67,2711,5244,1074,2808,1557,1538,634,2709,7392,3158,1290,626,267,902,1610
Golden State Warriors,77,3142,5808,1127,2569,1122,1352,556,2729,8140,2559,1624,751,412,1183,1322
New York Knicks,63,2524,6581,1058,2106,1972,1533,672,2123,7717,2530,1846,774,593,843,1044
Charlotte Hornets,67,2990,6550,957,2761,1347,1725,897,1924,8864,2770,1764,685,385,969,1521
Milwaukee Bucks,72,2645,6285,1067,2967,1812,1684,626,1805,7543,3379,1925,793,392,1112,1706
Houston Rockets,76,2723,6010,838,2117,1735,1688,685,1925,8410,2867,1968,657,278,1043,1699
Dallas Mavericks,60,3004,5968,759,2825,1275,1390,502,2600,7278,3399,1750,611,278,986,1713
LA Clippers,65,2606,6008,1193,2295,1632,1349,567,2614,8921,3431,1856,522,447,1057,1798
New Orleans Pelicans,61,3307,6215,998,2220,1786,1861,844,1992,8162,3781,1552,745,292,834,1413
Portland Trail Blazers,62,3089,6493,761,2755,1312,1803,599,2317,7583,3962,1811,753,459,1134,1553
Washington Wizards,60,3385,5249,1070,2775,1353,1364,829,2389,8305,3515,1938,502,421,898,1153
San Antonio Spurs,75,2587,6303,1167,2881,1284,1712,754,2363,6098,2732,1837,753,514,830,1686
Boston Celtics,64,3338,5267,764,2511,1873,1913,623,2593,8586,3447,1493,589,554,1087,1505
Phoenix Suns,73,3281,6481,808,2343,1077,1741,722,1991,7743,3520,1588,591,505,1169,1727
Los Angeles Lakers,72,3366,5981,991,1898,1595,1449,720,2141,8130,3524,1749,451,228,829,1035
Minnesota Timberwolves,62,2551,6232,1028,2133,1036,1360,654,2173,7991,3858,1568,773,496,1049,1339
Toronto Raptors,65,2566,5087,997,1900,1477,1993,648,2209,8632,3254,1912,798,573,871,1047
Memphis Grizzlies,78,2795,5122,1010,2224,1703,1534,816,2092,7363,3027,1491,411,572,1189,1597
Miami Heat,70,2589,6574,934,2829,1610,1865,608,2504,8148,2671,1989,516,368,978,1311
Atlanta Hawks,70,2869,6386,1177,2046,1649,1408,554,2334,8097,3141,1217,454,566,1188,1629
Brooklyn Nets,79,2505,6933,951,1832,1382,1676,832,2361,8077,3702,1632,746,460,1047,1237
Utah Jazz,71,2784,5763,1126,2784,1170,1890,739,2324,8930,3451,1555,408,342,912,1444
Denver Nuggets,81,2957,5510,1187,2569,1122,1688,588,2321,8055,2597,1454,713,412,957,1639
Philadelphia 76ers,77,3484,5594,685,2424,1848,1691,551,1800,7412,2624,1826,575,559,899,1532
Oklahoma City Thunder,80,3366,6216,1152,1879,1551,1750,538,2428,7328,3625,1967,457,345,809,1329
Sacramento Kings,68,3046,6093,1051,2875,1657,1600,850,2297,6821,2648,1610,623,406,1012,1133
Indiana Pacers,62,2574,6502,726,2908,1523,1656,666,2545,8971,3959,1357,783,524,1157,1794
Orlando Magic,70,2554,5895,1103,2248,1715,1910,527,1885,6616,2963,1545,635,505,1156,1601
Detroit Pistons,63,3441,6108,930,2394,1674,1948,831,2363,7357,2773,1403,405,249,1107,1774
Cleveland Cavaliers,68,2989,6223,1062,2594,1328,1675,700,2343,8696,3720,1994,728,236,1148,1032
Chicago Bulls,62,2855,5921,781,1812,1917,1504,690,2515,7438,3106,1409,532,240,803,1436
